"drug1_id","drug2_id","condition_id"
"DB01169","DB02546","D008545"
"DB01169","DB00398","D008545"
"DB01169","DB06176","D008545"
"DB01169","DB01259","D008545"
"DB01169","DB00530","D008545"
"DB01169","DB01041","D008545"
"DB01041","DB01590","D002292"
"DB01169","DB06176","D002292"
"DB01169","DB06589","D002292"
"DB01169","DB01259","D002292"
"DB01590","DB06589","D002292"
"DB01169","DB00530","D002292"
"DB06176","DB00515","D005910"
"DB02546","DB00515","D005910"
"DB01169","DB02546","D005910"
"DB01169","DB00317","D005910"
"DB01169","DB01041","D005910"
"DB01169","DB01259","D005910"
"DB01169","DB00530","D005910"
"DB01590","DB06589","D011471"
"DB06176","DB00515","D011471"
"DB02546","DB00515","D011471"
"DB01169","DB01259","D011471"
"DB01259","DB00441","D000077216"
"DB01169","DB06589","D000077216"
"DB01169","DB01259","D000077216"
"DB01169","DB01259","D000077216"
"DB01169","DB06176","D000077216"
"DB01169","DB00530","D000077216"
"DB01590","DB06589","D000077192"
"DB01041","DB01590","D000077192"
"DB01169","DB00530","D000077192"
"DB06176","DB00515","D002289"
"DB01169","DB06589","D002289"
"DB01169","DB00317","D002289"
"DB02546","DB00515","D018190"
"DB01169","DB02546","D018190"
"DB01169","DB01259","D018190"
"DB02546","DB00515","D001943"
"DB01169","DB06176","D001943"
"DB01169","DB06589","D001943"
"DB01169","DB01259","D001943"
"DB01169","DB00317","D001943"
"DB01169","DB00530","D015179"
"DB01590","DB06589","D001943"
"DB01169","DB05294","D000077192"
"DB01169","DB01259","D000077192"
"DB01169","DB06176","D015179"
"DB01169","DB02546","D015179"
"DB01169","DB01259","D015179"
"DB01169","DB02546","D000077192"
"DB01041","DB01590","D011471"
"DB06176","DB00515","D011471"
"DB02546","DB00515","D011471"
"DB01169","DB02546","D011471"
"DB06176","DB00515","D018190"
"DB02546","DB00515","D018190"
"DB01169","DB02546","D018190"
"DB01169","DB01259","D018190"
"DB01169","DB00317","D018190"
"DB02546","DB00515","D002292"
"DB01041","DB01590","D005910"
"DB01169","DB06176","D005910"
"DB01169","DB01248","D005910"
"DB01169","DB01229","D005910"
"DB01041","DB01590","D001943"
"DB01169","DB01259","D001943"
"DB01169","DB00530","D001943"
"DB01169","DB01248","D001943"
"DB01169","DB01229","D001943"
"DB01169","DB01248","D008545"
"DB01041","DB01590","D018190"
"DB01169","DB05294","D018190"
"DB01169","DB00530","D018190"
"DB01169","DB01248","D018190"
"DB01169","DB01229","D018190"
"DB01169","DB01041","D000077192"
"DB01169","DB00530","D000077192"
"DB01169","DB01229","D000077192"
"DB01169","DB06176","D000077192"
"DB01169","DB01248","D000077192"
"DB01169","DB01229","D000077192"
"DB01169","DB06589","D008545"
"DB01169","DB00317","D008545"
"DB01169","DB01229","D008545"
"DB01169","DB00398","D015179"
"DB01169","DB06589","D015179"
"DB01169","DB01248","D015179"
"DB01169","DB01248","D000077192"
"DB06176","DB00515","D019337"
"DB02546","DB00515","D019337"
"DB01169","DB02546","D019337"
"DB01169","DB01259","D019337"
"DB01169","DB00530","D019337"
"DB01169","DB01248","D019337"
"DB01169","DB01229","D019337"
"DB01169","DB01248","D015179"
"DB01169","DB01259","D015179"
"DB01169","DB01229","D015179"
"DB01169","DB00398","D000077192"
"DB01169","DB00398","D018190"
"DB01169","DB08865","D018190"
"DB01169","DB01248","D000077216"
"DB01169","DB01229","D000077216"
"DB01169","DB08865","D000077216"
"DB08916","DB00515","D001940"
"DB08916","DB01248","D001940"
"DB08916","DB02546","D001940"
"DB08916","DB08911","D001940"
"DB08916","DB00675","D001940"
"DB08916","DB00441","D001940"
"DB08916","DB09074","D001940"
"DB08916","DB06626","D001940"
"DB08916","DB09073","D001940"
"DB08916","DB00188","D001940"
"DB08916","DB08865","D001940"
"DB08916","DB00544","D001940"
"DB08916","DB01259","D001940"
"DB08916","DB00853","D001940"
"DB01259","DB00072","D001943"
"DB00002","DB01269","D015179"
"DB11967","DB01590","D009447"
"DB08912","DB08911","D002289"
"DB01259","DB11828","D001943"
"DB08911","DB08881","D008545"
"DB01268","DB00987","D015470"
"DB01268","DB00694","D015470"
"DB00947","DB00675","D001943"
"DB11689","DB08911","D002289"
"DB00947","DB00675","D001943"
"DB12015","DB00951","D001943"
"DB11689","DB08911","D002289"
"DB00398","DB01268","D006394"
"DB00947","DB00675","D001943"
"DB01590","DB00877","D002289"
"DB08911","DB08881","D008545"
"DB08911","DB08881","D008545"
"DB00002","DB00398","D015179"
"DB00398","DB08911","D008545"
"DB00947","DB00675","D001943"
"DB01259","DB11828","D001943"
"DB08916","DB00877","D002289"
"DB01269","DB00398","D015179"
"DB09073","DB00072","D001943"
"DB00619","DB08911","D015464"
"DB00947","DB00675","D001943"
"DB00398","DB00877","D018317"
"DB00002","DB08865","D015179"
"DB00398","DB01268","D006394"
"DB08916","DB06366","D002289"
"DB08911","DB08881","D008545"
"DB01590","DB09099","D008579"
"DB08916","DB01259","D000077192"
"DB01259","DB11828","D001943"
"DB11689","DB08911","D002289"
"DB08916","DB00072","D001940"
"DB00398","DB00072","D008545"
"DB00398","DB00072","D008545"
"DB01590","DB00072","D001943"
"DB11689","DB00072","D008545"
"DB08916","DB11663","D001940"
"DB08916","DB12108","D001940"
"DB08865","DB12242","D001943"
"DB08911","DB12242","D002289"
"DB08911","DB12108","D002289"
"DB08916","DB16828","D001940"
"DB08916","DB12242","D001940"
"DB08916","DB06075","D001940"
"DB08916","DB11740","D001940"
"DB08865","DB06075","D001943"
"DB06075","DB09073","D002289"
"DB08916","DB12340","D001940"
"DB09073","DB12242","D015179"
"DB11689","DB11651","D008545"
"DB11689","DB11651","D015179"
"DB11689","DB11651","D015179"
"DB00619","DB11832","D008545"
"DB11689","DB11651","D015179"
"DB00619","DB11832","D008545"
"DB09330","DB11907","D002289"
"DB11689","DB11651","D015179"
"DB11689","DB11651","D015179"
"DB00619","DB11832","D008545"
"DB01259","DB12218","D001943"
"DB00072","DB12218","D001943"
"DB00002","DB11651","D000077195"
"DB11689","DB11651","D015179"
"DB11689","DB11651","D015179"
"DB00619","DB11832","D008545"
"DB00530","DB00317","D001940"
"DB00530","DB00317","D000077192"
"DB06287","DB06641","D065646"
