"drug1_id","drug2_id","condition_id"
"DB08875","DB09035","D002292"
"DB01590","DB06589","D000077195"
"DB00072","DB01229","D001943"
"DB11595","DB00112","D002292"
"DB06589","DB02546","D015179"
"DB01590","DB06589","D008545"
"DB00112","DB01229","D002289"
"DB00112","DB11793","D010051"
"DB00112","DB01229","D002583"
"DB00112","DB00530","D005909"
"DB01006","DB11730","D010051"
"DB00112","DB02546","D001932"
"DB01590","DB06313","D002292"
"DB01128","DB01590","D011471"
"DB11828","DB01101","D001943"
"DB00002","DB01229","D000077195"
"DB01128","DB01590","D011471"
"DB01268","DB18041","D013274"
"DB09078","DB09037","D008545"
"DB00112","DB09037","D002292"
"DB09035","DB11800","D002292"
"DB06366","DB00072","D001943"
"DB11595","DB00112","D006528"
"DB09035","DB08896","D013274"
"DB01259","DB01101","D001943"
"DB06366","DB00072","C562730"
"DB09074","DB01229","D010051"
"DB06366","DB00072","D004938"
"DB01217","DB01590","D001943"
"DB01590","DB00480","D001943"
"DB01590","DB06663","D018358"
"DB01259","DB01229","D001943"
"DB00112","DB01229","D001943"
"DB08871","DB01590","D001943"
"DB00112","DB01101","D001943"
"DB09053","DB14989","D008223"
"DB01259","DB01101","D001943"
"DB06589","DB00441","D016889"
"DB00072","DB01229","D016889"
"DB01006","DB11730","D002583"
"DB08875","DB01248","D011471"
"DB01254","DB00530","D002289"
"DB00530","DB00441","D010190"
"DB00112","DB00530","D006528"
"DB01259","DB06589","D005909"
"DB00317","DB00441","D010190"
"DB00530","DB00441","D010190"
"DB00002","DB00544","D000694"
"DB00112","DB00642","D002289"
"DB08875","DB01269","D015179"
"DB06626","DB08865","D002292"
"DB09078","DB09037","D016889"
"DB05578","DB01229","D004938"
"DB00112","DB00762","D001932"
"DB00398","DB08911","D008113"
"DB01590","DB06589","D001943"
"DB06626","DB09037","D002292"
"DB01259","DB00072","D001943"
"DB00112","DB01229","D002289"
"DB09078","DB09037","D002292"
"DB11967","DB11730","D008545"
"DB11703","DB09037","D010190"
"DB00398","DB11641","D014523"
"DB00398","DB00544","D015179"
"DB00002","DB08896","D010051"
"DB00112","DB00762","D016543"
"DB00112","DB06287","D002292"
"DB00317","DB11771","D002289"
"DB00112","DB00642","D002289"
"DB08896","DB01268","D013274"
"DB08875","DB00530","D002289"
"DB00317","DB01229","D002289"
"DB00530","DB00441","D010190"
"DB00112","DB09330","D002289"
"DB08916","DB09037","D000077195"
"DB01590","DB06663","D018358"
"DB11714","DB08911","D015179"
"DB11595","DB00112","D010051"
"DB11967","DB12978","D013274"
"DB11595","DB00112","D006528"
"DB11363","DB08865","D002289"
"DB11689","DB01229","D002289"
"DB06366","DB00072","D001943"
"DB05773","DB11652","D001943"
"DB00112","DB00530","D006528"
"DB00530","DB00441","D010190"
"DB00530","DB08828","D010190"
"DB06589","DB01101","D013274"
"DB00112","DB06287","D006528"
"DB00112","DB01590","D015179"
"DB00530","DB00441","D002289"
"DB00112","DB06287","D010190"
"DB01590","DB06589","D001749"
"DB08911","DB11652","D001943"
"DB00990","DB09073","D001943"
"DB08896","DB01229","D004938"
"DB00398","DB00361","D001943"
"DB11730","DB00072","D001943"
"DB11828","DB00072","D001943"
"DB08911","DB01248","D001943"
"DB00530","DB00958","D002289"
"DB11595","DB00112","D006528"
"DB00112","DB01229","D001943"
"DB11595","DB00112","D002289"
"DB00112","DB01101","D001943"
"DB11595","DB00112","D002292"
"DB01590","DB00072","D001943"
"DB00947","DB11828","D001943"
"DB11828","DB00072","D001943"
"DB00317","DB00072","D001943"
"DB00398","DB00762","D015179"
"DB00398","DB00441","D001943"
"DB06366","DB00072","D001943"
"DB11945","DB06626","D002292"
"DB00530","DB06186","D002289"
"DB00530","DB06186","D002289"
"DB00112","DB01229","D010051"
"DB06589","DB01229","D010051"
"DB00112","DB05109","D010051"
"DB01590","DB00104","D013274"
"DB00112","DB00526","D015179"
"DB00530","DB00958","D005909"
"DB00112","DB04845","D002292"
"DB09078","DB09037","D006528"
"DB11689","DB01248","D002289"
"DB09078","DB01101","D015179"
"DB05773","DB11652","D001943"
"DB00112","DB00544","D015179"
"DB00317","DB00642","D002289"
"DB11967","DB00619","D046152"
"DB06589","DB01229","D008545"
"DB01590","DB00947","D001943"
"DB00072","DB11652","D001943"
"DB01590","DB08911","D001943"
"DB01590","DB01259","D001943"
"DB01590","DB01268","D002292"
"DB00317","DB12048","D002289"
"DB06366","DB00072","D015179"
"DB00112","DB01229","D002289"
"DB00112","DB11793","D010051"
"DB00112","DB09074","D010051"
"DB08875","DB00530","D002289"
"DB11703","DB09037","D010190"
"DB01259","DB00072","D001943"
"DB01590","DB06589","D001749"
"DB06589","DB00544","D013274"
"DB00112","DB06287","D002292"
"DB06589","DB01229","D010051"
"DB00530","DB00958","D005909"
"DB00530","DB00958","D002289"
"DB08875","DB00441","D021441"
"DB00112","DB01101","D002430"
"DB00307","DB00530","D002289"
"DB11967","DB11730","D008545"
"DB11714","DB09078","D012516"
"DB00112","DB00530","D005909"
"DB11967","DB01101","D001661"
"DB08875","DB01269","D015179"
"DB01259","DB01101","D001943"
"DB06366","DB00072","D001943"
"DB00112","DB01229","D001943"
"DB00398","DB00361","D001943"
"DB00317","DB00072","D001943"
"DB06366","DB00072","D001943"
"DB01217","DB01590","D001943"
"DB11730","DB00072","D001943"
"DB00947","DB11828","D001943"
"DB01259","DB06589","D005909"
"DB00072","DB01229","D001943"
"DB00317","DB01030","D010051"
"DB00002","DB00642","D000077195"
"DB00317","DB00441","D010190"
"DB00002","DB00515","D004938"
"DB00002","DB01229","D004938"
"DB00112","DB09330","D002289"
"DB01217","DB01590","D001943"
"DB01254","DB00530","D002289"
"DB08911","DB00441","D011471"
"DB11714","DB11885","D002583"
"DB00002","DB14993","D015179"
"DB00675","DB11666","D001943"
"DB11714","DB11885","D002583"
"DB11689","DB00762","D015179"
"DB11689","DB01248","D002289"
"DB01590","DB06589","D005706"
"DB00530","DB11689","D002289"
"DB00002","DB11689","D015179"
"DB11595","DB09035","D002289"
"DB09143","DB08828","D008545"
"DB05239","DB08911","D008545"
"DB00002","DB01269","D015179"
"DB11595","DB00112","D006528"
"DB11967","DB08911","D002289"
"DB05239","DB08911","D010051"
"DB05239","DB08911","D010051"
"DB00530","DB00317","D002289"
"DB05239","DB08911","D002289"
"DB04868","DB00570","D005910"
"DB11967","DB11730","D008545"
"DB09063","DB08865","D047708"
"DB05239","DB08911","D008545"
"DB08911","DB01248","D008545"
"DB00530","DB00877","D005910"
"DB01590","DB00072","D001943"
"DB01590","DB00072","D001943"
"DB00002","DB00072","D015179"
"DB08896","DB00072","D015179"
"DB00002","DB00072","D015179"
"DB00112","DB00072","D002289"
"DB00112","DB00072","D015179"
"DB00317","DB00072","D015179"
"DB08896","DB00072","D001661"
"DB00002","DB00072","D015179"
"DB00002","DB00072","D015179"
"DB00188","DB00072","D010051"
"DB07232","DB00441","D010051"
"DB00307","DB00530","D002289"
"DB04849","DB09074","D010051"
"DB07232","DB01030","D010051"
"DB00530","DB12307","D002289"
"DB00072","DB01229","D001943"
"DB00002","DB00544","D000077195"
"DB07232","DB01101","D015179"
"DB01259","DB12307","D001943"
"DB07232","DB01229","D001943"
"DB07232","DB00853","D002289"
"DB07232","DB00958","D010051"
"DB00072","DB01229","D001943"
"DB07232","DB00958","D002289"
"DB05239","DB11743","D016889"
"DB00530","DB00441","D002289"
"DB00112","DB12257","D010051"
"DB08896","DB16087","D015179"
"DB00947","DB12218","D001943"
"DB00530","DB12683","D002289"
"DB00072","DB11666","D001943"
"DB00947","DB11666","D001943"
"DB00112","DB16087","D015179"
"DB00112","DB01229","D002289"
"DB00112","DB00642","D002289"
"DB00112","DB14922","D002583"
"DB08871","DB00947","D001943"
"DB00112","DB01229","D002289"
"DB01006","DB00072","D001943"
"DB11595","DB01229","D002289"
"DB00112","DB01229","D002289"
"DB00530","DB12307","D002289"
"DB00112","DB00642","D002289"
"DB00112","DB01229","D002289"
"DB00112","DB00642","D002289"
"DB09073","DB06589","D002583"
"DB14922","DB01229","D002289"
"DB06626","DB15765","D002292"
"DB12001","DB09330","D002289"
"DB06626","DB15765","D002292"
"DB00947","DB12218","D001943"
"DB07232","DB00958","D002289"
"DB09074","DB11885","D001749"
"DB08911","DB11969","D008545"
"DB00947","DB11666","D001943"
"DB08911","DB11885","D002289"
"DB00947","DB11666","D001943"
"DB00112","DB08937","D015179"
"DB00112","DB08937","D003110"
"DB00112","DB01101","D003110"
"DB06626","DB15765","D015179"
"DB00188","DB00072","D010051"
"DB09078","DB15765","D001650"
"DB06589","DB00441","D002292"
"DB01259","DB12307","D001943"
"DB00112","DB08937","D003110"
"DB07232","DB00441","D009373"
"DB06626","DB15765","D002292"
"DB09078","DB14922","D010051"
"DB00112","DB01101","D003110"
"DB07232","DB01101","D015179"
"DB00112","DB01101","D003110"
"DB07232","DB01030","D010051"
"DB00112","DB08937","D003110"
"DB08916","DB00112","D002289"
"DB00112","DB01229","D002289"
"DB00112","DB01229","D002289"
"DB00112","DB00642","D002289"
"DB00002","DB01254","D015179"
"DB11363","DB00112","D002289"
"DB15765","DB00072","D013274"
"DB00112","DB01101","D003110"
"DB06626","DB15765","D002292"
"DB06626","DB15765","D002292"
"DB00002","DB12008","D005706"
"DB06366","DB00072","D001943"
"DB00947","DB15138","D001943"
"DB04849","DB09074","D010051"
"DB04849","DB09074","D010051"
"DB06233","DB06287","D016889"
"DB06233","DB06287","D016889"
"DB00398","DB06309","D006528"
"DB00755","DB09516","D015473"
"DB00112","DB01206","D001932"
"DB08896","DB14769","D015179"
"DB00002","DB00072","D015179"
