drug1	drug2	condition
DB01606	DB09050	D009369
DB01606	DB09050	D019337
DB09324	DB00415	D011014
DB00973	DB00641	D050197
DB01606	DB00319	D001424
DB06708	DB06697	D012552
DB06708	DB06697	D006373
DB00766	DB01060	D010518
DB00766	DB01060	D010485
DB00790	DB00808	D000075222
DB00438	DB09060	D007239
DB00438	DB09060	D016638
DB00766	DB01060	D011183
DB00983	DB01222	D000096823
DB00438	DB09060	D003141
DB00438	DB09060	D011014
DB00438	DB09060	D014552
DB00438	DB09060	D016470
DB00438	DB09060	D053717
DB00438	DB09060	D059413
DB00438	DB09060	D011704
DB06708	DB06697	D015658
DB00766	DB01060	D011471
DB01015	DB00440	D011471
DB00177	DB09292	D002318
DB00766	DB01060	D014376
DB00766	DB01060	D014397
DB00921	DB01183	D007239
DB00921	DB01183	D007249
DB01015	DB00440	D013530
DB01015	DB00440	D012878
DB09324	DB00415	D010019
DB01597	DB01598	D010019
DB01369	DB01764	D010019
DB01015	DB00440	D010031
DB01015	DB00440	D010033
DB01606	DB00319	D010190
DB01606	DB00319	D010182
DB00177	DB09292	D000686
DB01606	DB00319	D011014
DB11613	DB08934	D008107
DB01262	DB15694	D002289
DB00750	DB00281	D009369
DB01606	DB00319	D003550
DB01606	DB00319	D005355
DB01606	DB00319	D059413
DB00750	DB00281	D013088
DB00750	DB00281	D006398
DB09324	DB00415	D007239
DB09324	DB00415	D059413
DB09324	DB00415	D013530
DB01390	DB00338	D001471
DB01390	DB00338	D005764
DB01597	DB01598	D051437
DB01606	DB00319	D014115
DB01606	DB00319	D012772
DB00973	DB00641	D006950
DB00973	DB00641	D006951
DB01606	DB09050	D000077299
DB00766	DB01060	D000096825
DB00766	DB01060	D007674
DB00766	DB01060	D051436
DB00766	DB01060	D014718
DB00766	DB01060	D000013
DB01015	DB00440	D013203
DB01606	DB00319	D009503
DB01015	DB00440	D017719
DB01015	DB00440	D016523
DB00766	DB01060	D017719
DB00766	DB01060	D016523
DB09027	DB08934	D008107
DB11613	DB08934	D005355
DB09324	DB00415	D003141
DB00709	DB00495	D003967
DB01606	DB00319	D001064
DB09324	DB00415	D001424
DB09324	DB00415	D016470
DB00973	DB00641	D009203
DB00973	DB00641	D054058
DB00973	DB00641	D007238
DB01606	DB00319	D017719
DB00966	DB00381	D006949
DB00966	DB00381	D006951
DB01597	DB01598	D011014
DB01597	DB01598	D053717
DB00750	DB00281	D014860
DB09027	DB08934	D060085
DB00921	DB01183	D006526
DB00921	DB01183	D059020
DB01264	DB09065	D006679
DB00835	DB00852	D012220
DB00835	DB00852	D003139
DB00835	DB00852	D003371
DB00835	DB00852	D007249
DB00177	DB09292	D002598
DB00766	DB01060	D014947
DB00766	DB01060	D006230
DB00766	DB01060	D001134
DB01606	DB00319	D016470
DB01606	DB00319	D004756
DB00766	DB01060	D016470
DB00766	DB01060	D004756
DB01606	DB00319	D016638
DB00956	DB00316	D009101
DB00956	DB00316	D009362
DB00983	DB01222	D001250
DB01015	DB00440	D001750
DB00750	DB00281	D047928
DB00750	DB00281	D061686
DB01015	DB00440	D007938
DB01015	DB00440	D054198
DB01015	DB00440	D007945
DB01015	DB00440	D010677
DB01299	DB00205	D016585
DB01299	DB00205	D014245
DB01299	DB00205	D014247
DB01299	DB00205	D014623
DB01299	DB00205	D014627
DB01262	DB15694	D001943
DB01262	DB15694	D064726
DB00999	DB00722	D044342
DB09104	DB06723	D015658
DB11574	DB11575	D019698
DB11574	DB11575	D008103
DB11574	DB11575	D024821
DB11574	DB11575	D013577
DB00766	DB01060	D011655
DB00766	DB01060	D001281
DB00766	DB01060	D013927
DB00766	DB01060	D004617
DB00766	DB01060	D020246
DB01606	DB00319	D029424
DB01264	DB09065	D007239
DB11613	DB08934	D014777
DB11613	DB08934	D000163
DB11613	DB08934	D015658
DB11613	DB08934	D007153
DB00177	DB09292	D001049
DB00177	DB09292	D012891
DB00177	DB09292	D013577
DB01264	DB09065	D015658
DB01262	DB15694	D007951
DB01262	DB15694	D015470
DB01015	DB00440	D008223
DB01015	DB00440	D016483
DB01015	DB00440	D009164
DB01015	DB00440	D010538
DB01015	DB00440	D008103
DB01015	DB00440	D005355
DB01015	DB00440	D001201
DB01015	DB00440	D008268
DB01015	DB00440	D057092
DB01015	DB00440	D001284
DB11574	DB11575	D002277
DB11574	DB11575	D006528
DB00766	DB01060	D059413
DB01606	DB00319	D013530
DB00956	DB00316	D000070636
DB00709	DB00495	D009422
DB00709	DB00495	D002493
DB01114	DB00397	D003141
DB09324	DB00415	D017192
DB09324	DB00415	D012871
DB01015	DB00440	D009369
DB01015	DB00440	D019337
DB01015	DB00440	D000361
DB00177	DB09292	D054143
DB01076	DB00381	D000092244
DB01076	DB00381	D054160
DB01015	DB00440	D001170
DB01015	DB00440	D000039
DB01015	DB00440	D008417
DB01015	DB00440	D017703
DB01015	DB00440	D001168
DB01015	DB00440	D054517
DB00766	DB01060	D018410
DB01606	DB00319	D005490
DB09027	DB08934	D009369
DB09027	DB08934	D019337
DB01606	DB09050	D003141
DB01606	DB09050	D001424
DB01606	DB09050	D016905
DB00766	DB01060	D001991
DB00766	DB01060	D029481
DB00766	DB01060	D000208
DB00766	DB01060	D000084462
DB00766	DB01060	D005334
DB00438	DB09060	D001424
DB00438	DB09060	D018805
DB00438	DB09060	D018410
DB01606	DB09050	D018805
DB01606	DB09050	D018410
DB11613	DB08934	D000088562
DB01076	DB00381	D000787
DB11574	DB11575	D007674
DB00766	DB01060	D007938
DB00766	DB01060	D009369
DB00766	DB01060	D009101
DB00766	DB01060	D054219
DB00766	DB01060	D011289
DB00766	DB01060	D010954
DB00766	DB01060	D011230
DB00766	DB01060	D009190
DB00766	DB01060	D009196
DB00766	DB01060	D054437
DB00766	DB01060	D013577
DB00766	DB01060	D019584
DB09027	DB08934	D051437
DB01264	DB09065	D000163
DB00766	DB01060	D004238
DB00177	DB09292	D007333
DB00177	DB09292	D008659
DB00177	DB09292	D006967
DB00177	DB09292	D051437
DB00921	DB01183	D000083682
DB00177	DB09292	D059347
DB00983	DB01222	D012008
DB11613	DB08934	D009293
DB11613	DB08934	D019966
DB01597	DB01598	D011704
DB01076	DB00381	D006949
DB01299	DB00205	D001724
DB00983	DB01222	D001987
DB09027	DB08934	D006509
DB09027	DB08934	D014777
DB09027	DB08934	D006566
DB01015	DB00440	D012874
DB01015	DB00440	D014376
DB01015	DB00440	D009765
DB00999	DB00594	D006973
DB00766	DB01060	D011704
DB06708	DB06697	D000086382
DB01114	DB00397	D003139
DB00766	DB01060	D054312
DB00766	DB01060	D010020
DB00766	DB01060	D059266
DB09027	DB08934	D013921
DB00177	DB09292	D003924
DB00766	DB01060	D008103
DB00766	DB01060	D005355
DB00766	DB01060	D012913
DB01606	DB00319	D000084462
DB01606	DB00319	D005334
DB11613	DB08934	D008171
DB11574	DB11575	D008171
DB01015	DB00440	D009181
DB01015	DB00440	D002177
DB01015	DB00440	D000072742
DB01015	DB00440	D058387
DB01015	DB00440	D058365
DB01015	DB00440	D016469
DB00750	DB00281	D015266
DB00750	DB00281	D002277
DB00366	DB00165	D009325
DB00366	DB00165	D014839
DB00956	DB00316	D000544
DB00956	DB00316	D003704
DB00956	DB00316	D015140
DB01299	DB00205	D000740
DB01606	DB00319	D018461
DB01015	DB00440	D018461
DB00766	DB01060	D018461
DB00438	DB09060	D018461
DB09324	DB00415	D018461
DB00766	DB01060	D044342
DB01606	DB00319	D051437
DB01606	DB00319	D058186
DB01606	DB00319	D012769
DB01114	DB00397	D011014
DB01264	DB09065	D000086382
DB01264	DB09065	D011014
DB01264	DB09065	D011020
DB00766	DB01060	D000071074
DB06708	DB06697	D060085
DB06708	DB06697	D012553
DB01606	DB00319	D064147
DB01606	DB00319	D012141
DB01606	DB00319	D011552
DB01606	DB00319	D001249
DB01606	DB00319	D008171
DB01606	DB00319	D001987
DB00177	DB09292	D001281
DB00177	DB09292	D012008
DB00750	DB00281	D008228
DB01606	DB00319	D000086382
DB00766	DB01060	D000086382
DB06708	DB06697	D007239
DB06708	DB06697	D003141
DB00766	DB01060	D014076
DB00766	DB01060	D057085
DB01299	DB00205	D016780
DB00750	DB00281	D010149
DB00983	DB01222	D011656
DB00983	DB01222	D004646
DB01369	DB01764	D001424
DB01369	DB01764	D016908
DB00956	DB00316	D009325
DB00956	DB00316	D003248
DB00956	DB00316	D014098
DB00177	DB09292	D007674
DB00177	DB09292	D051436
DB09324	DB00415	D002769
DB09324	DB00415	D041761
DB09324	DB00415	D042882
DB00766	DB01060	D058070
DB01015	DB00440	D008554
DB01131	DB01117	D007239
DB01131	DB01117	D003141
DB01131	DB01117	D016778
DB00956	DB00316	D064386
DB00973	DB00641	D003922
DB01606	DB00319	D002764
DB01606	DB00319	D042101
DB01606	DB00319	D041881
DB00956	DB00316	D055959
DB00956	DB00316	D013168
DB06708	DB06697	D000084063
DB01264	DB09065	D003141
DB01606	DB09050	D014552
DB01606	DB09050	D011704
DB01015	DB00440	D014890
DB01015	DB00440	D056647
DB01262	DB15694	D011471
DB01262	DB15694	D015179
DB01262	DB15694	D009101
DB01262	DB15694	D054219
DB06708	DB06697	D012008
DB09027	DB08934	D013789
DB09027	DB08934	D017086
DB09027	DB08934	D006402
DB00177	DB09292	D008944
DB00766	DB01060	D053717
DB01015	DB00440	D011658
DB01015	DB00440	D054990
DB01262	DB15694	D016543
DB01015	DB00440	D003550
DB00709	DB00495	D014390
DB00709	DB00495	D008581
DB00766	DB01060	D012874
DB00766	DB01060	D012871
DB08864	DB08930	D000163
DB00709	DB00495	D007153
DB01015	DB00440	D004697
DB01015	DB00440	D004696
DB00879	DB09299	D000071576
DB01606	DB00319	D053717
DB01606	DB09050	D053717
DB01264	DB09065	D044342
DB11613	DB08934	D001847
DB11613	DB08934	D001851
DB11613	DB08934	D008659
DB00879	DB09299	D006526
DB00879	DB09299	D019698
DB00879	DB09299	D060085
DB00879	DB09299	D001847
DB00879	DB09299	D001851
DB00879	DB09299	D006505
DB00879	DB09299	D008659
DB00879	DB09299	D009293
DB00921	DB01183	D006506
DB00921	DB01183	D006505
DB01390	DB00338	D006356
DB00766	DB01060	D004716
DB12235	DB01395	D014591
DB09027	DB08934	D017119
DB09027	DB08934	D017094
DB09027	DB08934	D017092
DB09027	DB08934	D011164
DB01015	DB00440	D003556
DB01262	DB15694	D018358
DB00766	DB01060	D012003
DB00973	DB00641	D011471
DB00177	DB09292	D005355
DB00983	DB01222	D001988
DB00983	DB01222	D001989
DB00983	DB01222	D000092122
DB01262	DB15694	D018317
DB01262	DB15694	D018319
DB00177	DB09292	D001943
DB09027	DB08934	D000755
DB01299	DB00205	D012749
DB01299	DB00205	D047928
DB00983	DB01222	D007249
DB01015	DB00440	D014123
DB01015	DB00440	D014126
DB01015	DB00440	D012008
DB00177	DB09292	D016609
DB00177	DB09292	D066126
DB00177	DB09292	D001941
DB00766	DB01060	D006506
DB00766	DB01060	D006505
DB00766	DB01060	D008107
DB00766	DB01060	D006519
DB00766	DB01060	D008108
DB09027	DB08934	D007676
DB00177	DB09292	D009220
DB00177	DB09292	D018487
DB00177	DB09292	D020257
DB00177	DB09292	D064752
DB01606	DB09050	D009503
DB01606	DB09050	D064147
DB01606	DB09050	D000084462
DB01606	DB09050	D005334
DB06708	DB06697	D044342
DB06708	DB06697	D019282
DB06708	DB06697	D000067011
DB06708	DB06697	D007732
DB06708	DB06697	D002100
DB00766	DB01060	D007172
DB01015	DB00440	D007172
DB00766	DB01060	D003967
DB01262	DB15694	D012008
DB00879	DB09299	D019966
DB01299	DB00205	D044342
DB01299	DB00205	D000067011
DB11613	DB08934	D007676
DB01262	DB15694	D015464
DB01262	DB15694	D015466
DB01262	DB15694	D010677
DB00983	DB01222	D012131
DB01299	DB00205	D009748
DB11574	DB11575	D003141
DB01076	DB00381	D001281
DB00766	DB01060	D002764
DB00766	DB01060	D042101
DB06708	DB06697	D001768
DB01606	DB00319	D010185
DB01606	DB00319	D005402
DB11574	DB11575	D006333
DB00438	DB09060	D004756
DB01015	DB00440	D009894
DB01015	DB00440	D003967
DB00438	DB09060	D003428
DB00438	DB09060	D017093
DB00438	DB09060	D058625
DB00438	DB09060	D065290
DB00956	DB00316	D053040
DB00956	DB00316	D007669
DB09027	DB08934	D005776
DB00921	DB01183	D006556
DB00956	DB00316	D059350
DB00956	DB00316	D009293
DB00956	DB00316	D019567
DB00999	DB00594	D009443
DB00999	DB00594	D003711
DB00999	DB00594	D009902
DB00983	DB01222	D007239
DB00983	DB01222	D003141
DB00983	DB01222	D000086382
DB00983	DB01222	D012140
DB00983	DB01222	D012120
DB00879	DB09299	D007153
DB01264	DB09065	D007153
DB11613	DB08934	D008103
DB00750	DB00281	D017719
DB01606	DB09050	D008171
DB01390	DB00338	D004941
DB01390	DB00338	D004942
DB01015	DB00440	D007676
DB09027	DB08934	D000163
DB09027	DB08934	D015658
DB00750	DB00281	D002294
DB01606	DB09050	D019121
DB01606	DB09050	D003550
DB01606	DB09050	D001987
DB01606	DB09050	D005355
DB01015	DB00440	D000086382
DB00177	DB09292	D006331
DB00177	DB09292	D006330
DB00766	DB01060	D013530
DB00766	DB01060	D014946
DB00956	DB00316	D006470
DB00956	DB00316	D014839
DB00956	DB00316	D001835
DB00956	DB00316	D020250
DB00956	DB00316	D001836
DB00956	DB00316	D019106
DB01015	DB00440	D011470
DB01015	DB00440	D006965
DB01606	DB00319	D011024
DB01606	DB00319	D000080424
DB00956	DB00316	D002349
DB00766	DB01060	D009298
