drug1	drug2	condition
DB09324	DB00415	D007572
DB00766	DB01060	D001749
DB00750	DB00281	D014012
DB00177	DB09292	D003920
DB00750	DB00281	D001913
DB01299	DB00205	D000755
DB03793	DB00201	D001049
DB03793	DB00201	D012891
DB03793	DB00201	D020181
DB00921	DB01183	D010149
DB00956	DB00316	D059352
DB00766	DB01060	D011015
DB06708	DB06697	D000084462
DB06708	DB06697	D005334
DB00999	DB00966	D000075222
DB09324	DB00415	D053717
DB00438	DB09060	D016905
DB00766	DB01060	D005491
DB00766	DB01060	D005490
DB00177	DB09292	D018754
DB09104	DB06723	D006258
DB09104	DB06723	D052016
DB09104	DB06723	D013280
DB00750	DB00281	D001284
DB00766	DB01060	D006323
DB00766	DB01060	D058687
DB01597	DB01598	D018805
DB01606	DB00319	D003428
DB00766	DB01060	D010035
DB00921	DB01183	D007153
DB00750	DB00281	D002062
DB00177	DB09292	D000086382
DB00879	DB09299	D000086382
DB01015	DB00440	D053717
DB00177	DB09292	D014355
DB06708	DB06697	D047928
DB06708	DB06697	D050497
DB06708	DB06697	D001724
DB01015	DB00440	D008228
DB01015	DB00440	D008180
DB00766	DB01060	D010538
DB00766	DB01060	D018784
DB00766	DB01060	D007416
DB00766	DB01060	D015746
DB00766	DB01060	D000006
DB00766	DB01060	D012421
DB00766	DB01060	D006984
DB09027	DB08934	D003449
DB11613	DB08934	D003449
DB00766	DB01060	D056486
DB00750	DB00281	D003920
DB06708	DB06697	D001835
DB00030	DB00046	D016640
DB00030	DB00046	D003920
DB16474	DB16485	D009369
DB16474	DB16485	D019337
DB00681	DB03619	D001228
DB00681	DB03619	D055732
DB12975	DB09274	D008288
DB00030	DB00046	D003924
DB01288	DB00332	D001249
DB16691	DB00503	D000086382
DB16393	DB16394	D018352
DB16691	DB00503	D045169
DB16691	DB00503	D013577
DB16393	DB16394	D000086382
DB12975	DB09274	D016778
DB00071	DB00030	D003920
DB00071	DB00030	D003924
DB00613	DB09274	D016778
DB11751	DB08864	D000163
DB11751	DB08864	D015658
DB11751	DB08864	D009293
DB00681	DB03619	D007896
DB00681	DB03619	D007898
DB16393	DB16394	D014777
DB16474	DB16485	D000086382
DB04839	DB00977	D016889
DB04839	DB00977	D004714
DB04839	DB00977	D006965
DB00071	DB00030	D016640
DB00071	DB00030	D011254
DB12975	DB09274	D000086382
DB16691	DB00503	D000094024
DB16691	DB00503	D011014
DB16691	DB00503	D007674
DB16691	DB00503	D051436
DB16691	DB00503	D051437
DB00613	DB09274	D008288
DB04839	DB00977	D011085
DB04839	DB00977	D013577
DB04839	DB00977	D017588
DB04839	DB00977	D008599
DB12975	DB09274	D016780
DB00681	DB03619	D002177
DB01288	DB00332	D008171
DB01288	DB00332	D008173
DB01288	DB00332	D029424
DB16474	DB16485	D053120
DB16691	DB00503	D007239
DB16393	DB16394	D007239
DB00681	DB03619	D016919
DB00681	DB03619	D008581
DB00681	DB03619	D058365
DB11751	DB08864	D007239
DB11751	DB08864	D003141
DB00030	DB00046	D003922
DB16691	DB00503	D014511
DB16393	DB16394	D007938
DB16393	DB16394	D007945
DB16393	DB16394	D015451
DB16474	DB16485	D006402
DB00878	DB02513	D003731
DB16691	DB00503	D054972
DB16691	DB00503	D013610
DB16691	DB00503	D007249
DB16691	DB00503	D004194
DB16691	DB00503	D000094025
DB00681	DB03619	D008223
DB00681	DB03619	D009101
DB00681	DB03619	D054219
DB00681	DB03619	D011289
DB00681	DB03619	D010954
DB00681	DB03619	D009190
DB00681	DB03619	D009196
DB00681	DB03619	D013577
