drug	condition
DB00111	D004062
DB00111	D000013
DB00111	D013577
DB05829	D004062
DB05829	D000013
DB05829	D013577
DB00331	D008060
DB00331	D024821
DB01132	D008060
DB00002	D004938
DB00445	D004938
DB00073	D000374
DB00441	D016393
DB00441	D016403
DB00441	D008224
DB00441	D000374
DB00961	D004630
DB00441	D009362
DB00642	D009362
DB00642	D010190
DB00515	D001749
DB00990	D012008
DB12525	D012008
DB15035	D009369
DB06812	D003731
DB00297	D000068116
DB00822	D009293
DB06274	D007410
DB06274	D005767
DB06274	D003248
DB11312	D020141
DB11312	D001778
DB11312	D006470
DB13149	D020141
DB13149	D001778
DB13149	D006470
DB00630	D007676
DB00630	D002114
DB00564	D012559
DB00564	D001714
DB01267	D001714
DB00290	D006391
DB00571	D006391
DB00958	D008545
DB01248	D008545
DB01115	D063806
DB09074	D008223
DB09074	D011471
DB09074	D010051
DB01177	D008175
DB01177	D002289
DB08895	D013166
DB08895	D025241
DB08895	D013167
DB00531	D000075122
DB01073	D000075122
DB00608	D007251
DB00928	D015464
DB00928	D018365
DB01262	D018365
DB01020	D016104
DB09401	D016104
DB00883	D016104
DB00412	D008107
DB00412	D005234
DB00412	D065626
DB00412	D007333
DB01039	D008107
DB13873	D008107
DB01039	D005234
DB13873	D005234
DB01039	D065626
DB13873	D065626
DB01039	D007333
DB13873	D007333
DB00158	D001168
DB00158	D001172
DB00845	D007918
DB00845	D015440
DB00845	D056006
DB11963	D064726
DB00276	D007938
DB00276	D007951
DB00276	D015470
DB00331	D010003
DB13732	D007896
DB13732	D016773
DB00009	D002544
DB00009	D007511
DB00031	D000083242
DB00031	D002544
DB00031	D007511
DB09037	D046152
DB00476	D001416
DB00476	D017116
DB00760	D007239
DB01606	D007239
DB01606	D018805
DB00319	D007239
DB00319	D018805
DB00254	D008171
DB00254	D008173
DB00254	D029424
DB01234	D011471
DB11487	D011471
DB14649	D011471
DB01025	D008107
DB01025	D005234
DB01025	D065626
DB01025	D003920
DB01025	D009765
DB01025	D003924
DB00586	D010490
DB06723	D005764
DB09281	D005764
DB01601	D003141
DB01601	D000163
DB00421	D050197
DB00421	D006947
DB02546	D015473
DB02546	D007948
DB02546	D015479
DB02546	D007947
DB02546	D004915
DB14574	D008223
DB14574	D007938
DB01181	D007938
DB09099	D010195
DB08815	D003863
DB08815	D003866
DB09053	D007951
DB09053	D015470
DB01048	D002318
DB09035	D010190
DB00026	D010003
DB00026	D020370
DB09324	D007239
DB09324	D003141
DB09324	D014552
DB09324	D012141
DB01329	D007239
DB01329	D003141
DB01329	D014552
DB01329	D012141
DB01220	D006975
DB00581	D006975
DB00080	D013203
DB04918	D013203
DB04918	D016470
DB01216	D011470
DB01216	D006965
DB06207	D011470
DB06207	D006965
DB00230	D004827
DB00230	D004828
DB06285	D003100
DB18676	D003100
DB06285	D050723
DB18676	D050723
DB06285	D011885
DB18676	D011885
DB06285	D000092503
DB18676	D000092503
DB01270	D012178
DB01270	D047928
DB09502	D015614
DB01002	D009140
DB09074	D001749
DB01254	D000544
DB01254	D060825
DB04216	D000544
DB04216	D060825
DB00207	D001249
DB11742	D043183
DB01109	D018805
DB15404	D018805
DB01109	D007674
DB15404	D007674
DB00218	D011014
DB00218	D011015
DB00218	D008169
DB00415	D011014
DB00415	D000038
DB00415	D011015
DB00415	D008169
DB09324	D011014
DB09324	D000038
DB09324	D011015
DB09324	D008169
DB01234	D009877
DB11487	D009877
DB14649	D009877
DB00620	D009877
DB09325	D003807
DB09325	D006967
DB14909	D005909
DB14909	D001254
DB14909	D004806
DB14909	D018316
DB14909	D009837
DB14909	D020295
DB00621	D004392
DB00621	D014424
DB00621	D006059
DB00621	D013577
DB00813	D001986
DB01221	D016638
DB00997	D004938
DB01132	D007662
DB09038	D007662
DB00741	D006689
DB14538	D006689
DB14539	D006689
DB14540	D006689
DB14541	D006689
DB14543	D006689
DB14544	D006689
DB00888	D006689
DB00650	D011014
DB00650	D011020
DB01157	D011014
DB01157	D011020
DB01373	D011014
DB01373	D011020
DB11596	D011014
DB11596	D011020
DB11760	D007938
DB11760	D007951
DB11760	D015470
DB00570	D008175
DB00570	D002289
DB00305	D008175
DB00305	D002289
DB06228	D011655
DB01611	D050177
DB01628	D005356
DB01628	D009209
DB06817	D064420
DB00316	D014947
DB00316	D012253
DB00316	D005409
DB01050	D014947
DB01050	D012253
DB01050	D005409
DB00586	D014947
DB00586	D012253
DB00586	D005409
DB00295	D014947
DB00295	D012253
DB00295	D005409
DB00497	D014947
DB00497	D012253
DB00497	D005409
DB00193	D014947
DB00193	D012253
DB00193	D005409
DB05679	D015535
DB00316	D051299
DB00741	D051299
DB14538	D051299
DB14539	D051299
DB14540	D051299
DB14541	D051299
DB14543	D051299
DB14544	D051299
DB00741	D006261
DB14538	D006261
DB14539	D006261
DB14540	D006261
DB14541	D006261
DB14543	D006261
DB14544	D006261
DB00586	D051299
DB00586	D006261
DB00230	D051299
DB00230	D006261
DB00818	D003324
DB00316	D007889
DB00316	D047708
DB00316	D062788
DB00316	D000073818
DB01050	D007889
DB01050	D047708
DB01050	D062788
DB01050	D000073818
DB01109	D009203
DB15404	D009203
DB01109	D000787
DB15404	D000787
DB01109	D060050
DB15404	D060050
DB01109	D000789
DB15404	D000789
DB01109	D007238
DB15404	D007238
DB00009	D013927
DB00009	D050197
DB01234	D007415
DB11487	D007415
DB14649	D007415
DB00104	D007415
DB01233	D007415
DB00227	D008545
DB00227	D011230
DB00531	D055752
DB00445	D008175
DB00445	D055752
DB00571	D040921
DB00571	D040701
DB06779	D011248
DB06822	D011248
DB08860	D006973
DB11771	D008545
DB00635	D005921
DB00678	D005922
DB01340	D005921
DB01340	D005922
DB01065	D002547
DB08935	D000230
DB00904	D007022
DB01001	D056151
DB01409	D056151
DB01609	D005198
DB01609	D000741
DB01609	D005199
DB01609	D029503
DB00476	D000437
DB00476	D000428
DB00422	D000437
DB00422	D000428
DB00571	D009369
DB00571	D001943
DB00571	D008545
DB00571	D006528
DB00571	D000077216
DB00571	D018567
DB00317	D013964
DB00668	D006323
DB11124	D006323
DB06695	D054556
DB14726	D054556
DB00412	D008060
DB01202	D019970
DB01202	D009293
DB00497	D007410
DB00497	D000079689
DB01183	D007410
DB01183	D000079689
DB00472	D057215
DB00612	D001943
DB00790	D001943
DB00790	D002318
DB00513	D013166
DB00513	D012600
DB00513	D013130
DB00513	D007738
DB00513	D008141
DB01050	D001932
DB15569	D008175
DB01275	D002583
DB00313	D002583
DB01590	D017253
DB01590	D009456
DB01590	D009455
DB01590	D018318
DB09559	D008175
DB09559	D002289
DB00443	D017676
DB00443	D008010
DB00337	D017676
DB00337	D008010
DB00196	D003047
DB00196	D003048
DB01263	D003047
DB01263	D003048
DB01264	D000163
DB11586	D007239
DB11586	D003141
DB11586	D006506
DB11586	D006526
DB11586	D006505
DB00531	D001005
DB00531	D006258
DB00531	D002583
DB11714	D012509
DB11771	D012509
DB01268	D001749
DB01268	D014523
DB01268	D002295
DB01268	D007680
DB01268	D014516
DB14509	D009103
DB14509	D020528
DB14509	D012598
DB00620	D008269
DB00620	D004487
DB01273	D012559
DB01012	D007674
DB01060	D011014
DB00627	D054559
DB15764	D054559
DB06817	D000163
DB00843	D010243
DB00843	D013494
DB15631	D015179
DB00741	D006323
DB14538	D006323
DB14539	D006323
DB14540	D006323
DB14541	D006323
DB14543	D006323
DB14544	D006323
DB00741	D058687
DB14538	D058687
DB14539	D058687
DB14540	D058687
DB14541	D058687
DB14543	D058687
DB14544	D058687
DB00050	D003920
DB00050	D003922
DB00783	D003920
DB13952	D003920
DB13954	D003920
DB13956	D003920
DB15690	D003920
DB00783	D003922
DB13952	D003922
DB13954	D003922
DB13956	D003922
DB15690	D003922
DB09045	D014883
DB00193	D059350
DB00959	D013717
DB14643	D013717
DB00860	D013717
DB14631	D013717
DB14632	D013717
DB15566	D013717
DB00281	D013717
DB00783	D064726
DB13952	D064726
DB13954	D064726
DB13956	D064726
DB15690	D064726
DB14922	D008228
DB00922	D018754
DB00922	D018497
DB00783	D004414
DB13952	D004414
DB13954	D004414
DB13956	D004414
DB15690	D004414
DB00490	D004415
DB00338	D004415
DB00073	D000092122
DB00073	D006086
DB00087	D000092122
DB00087	D006086
DB00367	D004714
DB00367	D006965
DB00603	D004714
DB00603	D006965
DB01254	D054198
DB00575	D016638
DB00199	D003920
DB00199	D003922
DB00040	D005767
DB00040	D004066
DB00912	D011471
DB01156	D011471
DB00006	D002318
DB00683	D001930
DB00683	D000070642
DB00614	D007239
DB00614	D003141
DB00614	D016481
DB01041	D005909
DB04865	D011289
DB04865	D015470
DB04865	D009190
DB00022	D007938
DB00022	D015464
DB06151	D009437
DB14080	D009437
DB14479	D009437
DB14480	D009437
DB01221	D008175
DB01221	D008171
DB01221	D008173
DB01221	D029424
DB00243	D001281
DB09035	D005909
DB00126	D013705
DB00126	D013706
DB14490	D013705
DB14490	D013706
DB14484	D013705
DB14484	D013706
DB14482	D013705
DB14482	D013706
DB00361	D009369
DB01259	D009369
DB04932	D006504
DB00002	D010190
DB01590	D010190
DB00641	D006391
DB00641	D018324
DB00641	D019339
DB00482	D012004
DB00158	D050197
DB00114	D050197
DB00147	D050197
DB00165	D050197
DB00586	D059787
DB00586	D013180
DB00586	D003288
DB00297	D001416
DB00297	D017116
DB00818	D004066
DB00818	D005767
DB00922	D058186
DB00922	D051437
DB00922	D014947
DB00050	D007246
DB00073	D015433
DB01285	D007674
DB01285	D015433
DB01109	D001281
DB15404	D001281
DB01109	D006331
DB15404	D006331
DB01109	D013610
DB15404	D013610
DB01109	D001919
DB15404	D001919
DB01109	D006349
DB15404	D006349
DB00682	D006331
DB00682	D013610
DB00682	D001919
DB00682	D006349
DB00758	D019446
DB08816	D019446
DB00069	D006521
DB00025	D002836
DB09108	D002836
DB09109	D002836
DB11606	D002836
DB13998	D002836
DB17966	D002836
DB13151	D006467
DB13151	D002836
DB01220	D007239
DB01220	D003141
DB01220	D001424
DB14678	D001168
DB14678	D001172
DB00783	D001168
DB13952	D001168
DB13954	D001168
DB13956	D001168
DB15690	D001168
DB00783	D001172
DB13952	D001172
DB13954	D001172
DB13956	D001172
DB15690	D001172
DB01041	D013789
DB01005	D013789
DB00683	D000374
DB00193	D059787
DB00620	D052256
DB00620	D000070636
DB00465	D052256
DB00843	D001049
DB00843	D012891
DB00843	D020181
DB01373	D006333
DB00490	D018589
DB01259	D000230
DB06186	D010051
DB06186	D016609
DB06186	D006967
DB01009	D010003
DB01229	D018312
DB13809	D018312
DB00112	D018312
DB01015	D009123
DB01015	D003555
DB00633	D013345
DB00633	D006470
DB00650	D020258
DB00112	D020258
DB01101	D020258
DB00526	D020258
DB00544	D020258
DB01373	D020258
DB11596	D020258
DB01183	D009437
DB01183	D015352
DB00530	D015179
DB00413	D011595
DB00413	D012148
DB00413	D013577
DB01060	D011015
DB01060	D006258
DB00766	D011014
DB00766	D011015
DB00766	D006258
DB00065	D013166
DB00065	D025242
DB00065	D025241
DB08879	D009157
DB00620	D020773
DB00620	D006261
DB00297	D020773
DB00297	D006261
DB06809	D007246
DB01410	D001249
DB00590	D006984
DB01216	D006984
DB00285	D044342
DB00681	D003141
DB00020	D007239
DB00020	D003141
DB00020	D009181
DB00020	D000072742
DB00254	D008382
DB00254	D054119
DB00254	D013577
DB01029	D008382
DB01029	D054119
DB01029	D013577
DB00728	D004630
DB00202	D004630
DB00928	D013921
DB00575	D006617
DB00575	D057925
DB00668	D006617
DB00668	D057925
DB01137	D007239
DB01137	D003141
DB00489	D013610
DB00489	D017180
DB09061	D001008
DB09061	D000072861
DB11094	D002318
DB00153	D002318
DB00169	D002318
DB00947	D009362
DB00692	D015878
DB00692	D004108
DB08842	D008175
DB08842	D002289
DB00218	D018088
DB01045	D018088
DB00951	D018088
DB00339	D018088
DB00330	D018088
DB08903	D018088
DB08903	D006967
DB00381	D009765
DB00966	D009765
DB00796	D009765
DB13919	D009765
DB01229	D010523
DB13809	D010523
DB00806	D001943
DB00806	D010523
DB01234	D005909
DB11487	D005909
DB14649	D005909
DB01234	D018278
DB11487	D018278
DB14649	D018278
DB00635	D014605
DB01105	D002032
DB01105	D056912
DB01267	D001523
DB00563	D018365
DB00047	D008107
DB00047	D005234
DB00047	D065626
DB01276	D008107
DB01276	D005234
DB01276	D065626
DB00633	D006331
DB00633	D006330
DB09035	D055756
DB06186	D055756
DB00009	D003141
DB00575	D020918
DB00575	D012019
DB00388	D020918
DB00388	D012019
DB00935	D020918
DB00935	D012019
DB08895	D015535
DB00661	D047928
DB00661	D005117
DB00661	D018879
DB00489	D047928
DB00489	D005117
DB00489	D018879
DB01195	D047928
DB01195	D005117
DB01195	D018879
DB00073	D051437
DB00293	D009362
DB00293	D008113
DB00998	D006261
DB06825	D064420
DB01234	D013530
DB11487	D013530
DB14649	D013530
DB01234	D014313
DB11487	D014313
DB14649	D014313
DB00302	D000086382
DB00302	D011014
DB00928	D019337
DB00178	D009394
DB00526	D008175
DB00091	D007676
DB00091	D051437
DB00877	D007676
DB01024	D007676
DB00688	D007676
DB00087	D007676
DB00087	D051437
DB00864	D007676
DB01127	D014005
DB01127	D014008
DB01136	D003324
DB01136	D017202
DB01136	D003327
DB04861	D003324
DB04861	D017202
DB04861	D003327
DB00627	D058186
DB15764	D058186
DB00381	D002543
DB00381	D059345
DB00381	D000083302
DB00381	D015140
DB00381	D006470
DB00966	D002543
DB00966	D059345
DB00966	D000083302
DB00966	D015140
DB00966	D006470
DB00966	D060825
DB00808	D002543
DB00808	D059345
DB00808	D000083302
DB00808	D015140
DB00808	D006470
DB00808	D060825
DB06204	D000072716
DB00381	D000783
DB00381	D001014
DB00381	D017544
DB09026	D000783
DB09026	D001014
DB09026	D017544
DB00843	D003704
DB02709	D004715
DB00537	D010033
DB00537	D010034
DB01234	D010033
DB11487	D010033
DB14649	D010033
DB01234	D010034
DB11487	D010034
DB14649	D010034
DB01593	D015658
DB09322	D015658
DB12243	D016472
DB12243	D000690
DB12243	D012598
DB00302	D010437
DB00302	D010438
DB00302	D014456
DB04918	D007239
DB04918	D003141
DB04918	D002481
DB04918	D012874
DB04918	D013290
DB04918	D013207
DB01097	D008180
DB02348	D003773
DB00114	D000544
DB00147	D000544
DB00165	D000544
DB00083	D013285
DB16820	D013285
DB00083	D004948
DB16820	D004948
DB06151	D051437
DB14080	D051437
DB14479	D051437
DB14480	D051437
DB06151	D006331
DB14080	D006331
DB14479	D006331
DB14480	D006331
DB00588	D012221
DB08906	D012221
DB13867	D012221
DB01206	D012008
DB01168	D005909
DB01168	D012008
DB00877	D008228
DB00877	D054218
DB00877	D012008
DB01234	D054218
DB11487	D054218
DB14649	D054218
DB00563	D054218
DB00541	D054218
DB00541	D012008
DB08886	D008228
DB08886	D054218
DB08886	D012008
DB06287	D008228
DB06287	D054198
DB06287	D007945
DB06287	D054218
DB06287	D012008
DB01204	D054218
DB01204	D016399
DB01204	D012008
DB00059	D008228
DB00059	D054218
DB00059	D012008
DB01050	D011885
DB01050	D000092503
DB01204	D010051
DB01204	D000077216
DB01273	D002318
DB00619	D013274
DB00426	D006558
DB00426	D012008
DB11094	D007249
DB00169	D007249
DB14922	D009362
DB14922	D000077274
DB00440	D015658
DB00440	D000163
DB00440	D009503
DB00440	D007153
DB01015	D015658
DB01015	D000163
DB01015	D009503
DB01015	D007153
DB00742	D009437
DB00742	D051474
DB00727	D016301
DB00727	D050723
DB00041	D012008
DB01132	D002277
DB01132	D008175
DB01132	D002289
DB09315	D008175
DB13453	D008175
DB01224	D010698
DB08907	D050177
DB00191	D050177
DB00635	D016483
DB00531	D016483
DB00073	D016483
DB00997	D016483
DB00773	D016483
DB00541	D016483
DB01234	D012421
DB11487	D012421
DB14649	D012421
DB01628	D012421
DB08439	D012421
DB00580	D012421
DB00338	D005764
DB00331	D009103
DB00331	D020528
DB00331	D012598
DB00331	D009410
DB00176	D003193
DB00176	D009771
DB00215	D003193
DB00215	D009771
DB00472	D003193
DB00472	D009771
DB00715	D003193
DB00715	D009771
DB01104	D003193
DB01104	D009771
DB01029	D006333
DB00635	D014890
DB00635	D055953
DB00635	D014657
DB00635	D056647
DB00959	D014890
DB14643	D014890
DB00959	D055953
DB14643	D055953
DB00959	D014657
DB14643	D014657
DB00959	D056647
DB14643	D056647
DB00531	D014890
DB00531	D055953
DB00531	D014657
DB00531	D056647
DB00073	D014657
DB00993	D014890
DB00993	D055953
DB00993	D014657
DB00993	D056647
DB11672	D014860
DB11672	D003218
DB05578	D009369
DB11094	D007239
DB11094	D003141
DB11094	D006526
DB11094	D019698
DB11094	D014777
DB11094	D012327
DB11094	D018178
DB00200	D007239
DB00200	D003141
DB00200	D006506
DB00200	D006526
DB00200	D019698
DB00200	D014777
DB00200	D012327
DB00200	D018178
DB00200	D006505
DB00091	D000080343
DB00950	D001249
DB00809	D014786
DB00809	D004948
DB00809	D012030
DB00979	D014786
DB00979	D004948
DB00979	D012030
DB01259	D002277
DB01259	D006528
DB01259	D008113
DB01259	D005706
DB01259	D001650
DB01259	D018281
DB01259	D012008
DB00860	D009136
DB14631	D009136
DB14632	D009136
DB15566	D009136
DB00860	D020388
DB14631	D020388
DB14632	D020388
DB15566	D020388
DB00959	D009136
DB14643	D009136
DB00959	D020388
DB14643	D020388
DB00396	D000022
DB00396	D006406
DB01076	D000783
DB01076	D003323
DB00302	D006408
DB00302	D020200
DB00302	D006406
DB00997	D000230
DB00668	D009140
DB11124	D009140
DB11094	D006333
DB00169	D006333
DB01024	D051799
DB00688	D051799
DB01590	D051799
DB00864	D051799
DB00650	D010534
DB00544	D010534
DB11596	D010534
DB14126	D007249
DB00300	D007249
DB00879	D007249
DB00625	D007249
DB00175	D007249
DB00398	D001943
DB01118	D001145
DB00379	D001145
DB00379	D013610
DB00379	D017180
DB01035	D001145
DB01035	D013610
DB01035	D017180
DB01373	D007938
DB00207	D014141
DB08826	D010300
DB00213	D016481
DB00281	D002769
DB00281	D041761
DB00281	D042882
DB00158	D011085
DB00158	D006628
DB00158	D013577
DB00158	D008599
DB13178	D006628
DB13178	D008599
DB00080	D051437
DB00619	D055752
DB00813	D015192
DB01167	D014009
DB01254	D009181
DB01254	D006689
DB01254	D009182
DB00163	D011085
DB14001	D011085
DB14477	D011085
DB00163	D013577
DB14001	D013577
DB14477	D013577
DB00047	D007674
DB00047	D051436
DB00026	D003920
DB00026	D003924
DB00026	D007333
DB00073	D009471
DB00993	D009471
DB00813	D009325
DB00813	D020250
DB00187	D010149
DB00187	D009325
DB00187	D014839
DB00187	D020250
DB00700	D007674
DB00700	D051436
DB00441	D006258
DB01211	D011014
DB01212	D011014
DB00041	D000096142
DB00041	D012878
DB00343	D015427
DB00343	D007511
DB05084	D015663
DB01189	D000230
DB01189	D009360
DB01189	D010190
DB00997	D010954
DB00541	D009101
DB00541	D054219
DB00541	D010954
DB01177	D009101
DB01177	D054219
DB01177	D010954
DB01254	D001943
DB00619	D010051
DB00619	D000077216
DB00531	D012516
DB00762	D009447
DB00762	D012516
DB00020	D002294
DB00958	D009362
DB00273	D044342
DB00700	D024821
DB00986	D004417
DB01001	D004417
DB01229	D013736
DB13809	D013736
DB00570	D009373
DB00570	D013736
DB01259	D009362
DB01259	D001932
DB12332	D001943
DB09037	D013964
DB09037	D013959
DB00385	D002277
DB00385	D002278
DB00385	D012008
DB00958	D018262
DB00958	D020258
DB00641	D064726
DB00260	D003866
DB00260	D003863
DB00260	D003865
DB09053	D008224
DB09053	D012008
DB11921	D051437
DB12597	D007938
DB12597	D007951
DB12597	D015464
DB00470	D003704
DB00470	D000066553
DB00635	D009202
DB00635	D009205
DB00993	D009202
DB00993	D009205
DB01248	D014062
DB00471	D006967
DB00471	D005512
DB00682	D020141
DB00682	D001778
DB06228	D006331
DB06228	D020141
DB06228	D006349
DB06228	D001778
DB00960	D003863
DB00960	D003866
DB00741	D005128
DB14538	D005128
DB14539	D005128
DB14540	D005128
DB14541	D005128
DB14543	D005128
DB14544	D005128
DB04899	D006976
DB00983	D000402
DB01274	D000402
DB00199	D011014
DB08816	D003920
DB00421	D006333
DB06186	D013274
DB01076	D007239
DB01156	D002294
DB01156	D000077274
DB01156	D000077195
DB00184	D002294
DB00184	D000077274
DB00184	D000077195
DB01273	D002277
DB01273	D002294
DB01273	D000077274
DB01273	D000077195
DB06292	D003555
DB06637	D009128
DB06637	D010264
DB06637	D015419
DB09502	D000230
DB00843	D010523
DB08890	D043183
DB08890	D013577
DB08813	D008103
DB08813	D020246
DB00682	D008103
DB01373	D008103
DB01373	D013927
DB01373	D020246
DB00620	D012170
DB01017	D012559
DB00704	D015535
DB08816	D013927
DB00296	D014839
DB00296	D020250
DB08907	D007674
DB00184	D013375
DB00530	D002277
DB00921	D019970
DB00921	D006556
DB00333	D019970
DB00333	D006556
DB00282	D001416
DB00282	D017116
DB01161	D010149
DB09035	D005185
DB09035	D018269
DB09035	D018284
DB12332	D005185
DB12332	D000077216
DB12332	D018269
DB12332	D018284
DB00091	D007948
DB00091	D015479
DB00091	D007947
DB00091	D004915
DB01024	D007948
DB01024	D007947
DB01024	D004915
DB00688	D007948
DB00688	D007947
DB00688	D004915
DB01073	D007948
DB01073	D007947
DB01073	D004915
DB00678	D007333
DB00678	D011236
DB00678	D018149
DB05381	D006967
DB01590	D018442
DB00700	D006973
DB09220	D000787
DB09220	D060050
DB00335	D000787
DB00335	D060050
DB14922	D006528
DB14922	D012008
DB16650	D012859
DB16650	D013577
DB11105	D005128
DB00722	D018589
DB00585	D018589
DB01399	D003920
DB01399	D003924
DB01399	D007249
DB13178	D007333
DB01395	D007333
DB00783	D007333
DB13952	D007333
DB13954	D007333
DB13956	D007333
DB15690	D007333
DB00783	D013577
DB13952	D013577
DB13954	D013577
DB13956	D013577
DB15690	D013577
DB00188	D000686
DB00700	D003924
DB01001	D001986
DB00929	D000030
DB00169	D050723
DB00169	D006620
DB11094	D050723
DB11094	D006620
DB00091	D001988
DB00091	D001989
DB01590	D004938
DB09224	D010300
DB09224	D011618
DB09224	D001523
DB00297	D011471
DB00361	D000077192
DB00394	D008171
DB14221	D008171
DB00394	D001997
DB14221	D001997
DB00394	D006819
DB14221	D006819
DB09033	D003093
DB09033	D014456
DB00486	D003193
DB00486	D009771
DB01156	D009203
DB01156	D054058
DB01156	D013577
DB01156	D007238
DB00879	D060825
DB04835	D060825
DB01264	D060825
DB09065	D060825
DB01221	D003027
DB13700	D003924
DB00708	D014069
DB00708	D006984
DB00627	D063806
DB15764	D063806
DB00627	D009437
DB15764	D009437
DB00627	D005221
DB15764	D005221
DB00860	D049913
DB14631	D049913
DB14632	D049913
DB15566	D049913
DB00860	D047748
DB14631	D047748
DB14632	D047748
DB15566	D047748
DB00860	D003480
DB14631	D003480
DB14632	D003480
DB15566	D003480
DB00959	D049913
DB14643	D049913
DB00959	D047748
DB14643	D047748
DB00959	D003480
DB14643	D003480
DB06230	D010300
DB06230	D007174
DB09061	D014839
DB09061	D020250
DB00177	D020521
DB14043	D008881
DB14043	D010146
DB00678	D011656
DB00678	D004646
DB06681	D003920
DB06681	D003922
DB01281	D003920
DB01281	D003922
DB00571	D001930
DB00571	D000070642
DB00571	D014947
DB09074	D002294
DB09074	D000077195
DB00605	D000077779
DB14509	D005910
DB14509	D001932
DB00012	D008223
DB00091	D019337
DB13144	D019337
DB01254	D007945
DB00603	D010024
DB01263	D007938
DB08901	D007951
DB08901	D015464
DB08887	D000086382
DB00358	D000544
DB00104	D005402
DB06151	D005715
DB14080	D005715
DB14479	D005715
DB14480	D005715
DB00201	D007383
DB03366	D000077195
DB01224	D007319
DB01224	D000437
DB01224	D064829
DB00545	D000163
DB00545	D015658
DB00545	D007249
DB00758	D002546
DB08816	D002546
DB00563	D007249
DB06282	D015179
DB06292	D007249
DB00975	D002318
DB00975	D006331
DB00975	D017202
DB00975	D003324
DB00975	D015427
DB00975	D007511
DB00211	D013119
DB00787	D006558
DB00619	D015451
DB00653	D004461
DB09037	D001749
DB00563	D001749
DB00694	D001749
DB13144	D001749
DB06176	D007938
DB06176	D011289
DB06176	D009190
DB06176	D009196
DB06176	D054437
DB06812	D009263
DB00296	D013168
DB00296	D017116
DB00653	D009120
DB00653	D013035
DB00783	D004108
DB13952	D004108
DB13954	D004108
DB13956	D004108
DB15690	D004108
DB06186	D015179
DB01017	D010510
DB00390	D006526
DB00390	D006505
DB01098	D006526
DB01098	D006505
DB00334	D018589
DB01270	D014786
DB01270	D015354
DB00460	D014786
DB00460	D015354
DB00460	D009216
DB00460	D047728
DB00641	D008103
DB00641	D006975
DB00641	D006973
DB00368	D012772
DB00230	D011843
DB06777	D019294
DB06777	D014973
DB00480	D001749
DB12473	D005185
DB12473	D000077216
DB11945	D018278
DB00178	D008103
DB00178	D005355
DB00257	D007239
DB00257	D003141
DB00257	D014008
DB01110	D007239
DB01110	D003141
DB01110	D014008
DB09123	D004412
DB01395	D004412
DB00783	D004412
DB13952	D004412
DB13954	D004412
DB13956	D004412
DB15690	D004412
DB00073	D002051
DB00073	D054685
DB00997	D054685
DB11595	D012004
DB00328	D009369
DB00328	D002278
DB00531	D002278
DB00338	D009369
DB00338	D002278
DB04896	D009437
DB08918	D009437
DB00750	D003161
DB00750	D013577
DB00961	D003161
DB00961	D013577
DB00281	D007669
DB00281	D053040
DB00281	D014514
DB00281	D053039
DB00281	D002137
DB00762	D018197
DB00104	D006530
DB00104	D051437
DB00104	D013577
DB00368	D006530
DB00368	D051437
DB00368	D013577
DB00211	D006530
DB00211	D051437
DB01050	D010003
DB01050	D020370
DB00284	D003920
DB00359	D009263
DB05245	D009263
DB01132	D014029
DB01132	D006556
DB09034	D019584
DB00218	D000292
DB00218	D034161
DB00916	D000292
DB15759	D000292
DB00916	D034161
DB15759	D034161
DB01137	D000292
DB01137	D034161
DB08815	D001714
DB05382	D012175
DB16572	D012175
DB00328	D000544
DB04899	D054160
DB00331	D007246
DB00929	D013166
DB00929	D001168
DB00929	D010003
DB00929	D001172
DB00929	D025241
DB00929	D013167
DB00905	D007039
DB00659	D000428
DB00958	D004806
DB01179	D016543
DB01179	D004806
DB01179	D009423
DB13144	D016543
DB13144	D004806
DB13144	D009423
DB04953	D012640
DB01129	D013276
DB00413	D003866
DB00413	D003865
DB00390	D012509
DB06650	D020522
DB00627	D001161
DB15764	D001161
DB00627	D030342
DB15764	D030342
DB00627	D052456
DB15764	D052456
DB01076	D001161
DB01076	D030342
DB01076	D052456
DB01039	D001161
DB13873	D001161
DB01039	D030342
DB13873	D030342
DB01039	D052456
DB13873	D052456
DB00153	D007333
DB00153	D007249
DB15627	D016889
DB00297	D005264
DB00296	D005264
DB00512	D008113
DB11595	D008113
DB06186	D003110
DB00877	D013921
DB00877	D003240
DB00380	D006330
DB00380	D000013
DB00399	D009369
DB14919	D005356
DB14919	D009209
DB01229	D006394
DB13809	D006394
DB01234	D003110
DB11487	D003110
DB14649	D003110
DB01110	D059249
DB00257	D059249
DB00762	D008545
DB00860	D006967
DB14631	D006967
DB14632	D006967
DB15566	D006967
DB00959	D006967
DB14643	D006967
DB01248	D006967
DB01076	D002318
DB01041	D002292
DB00203	D004541
DB00203	D013577
DB09061	D059350
DB00581	D043183
DB00581	D013577
DB00581	D003248
DB00581	D004415
DB08890	D004415
DB00571	D006980
DB00181	D001321
DB00181	D000067877
DB00181	D002659
DB00714	D006212
DB01190	D007239
DB01190	D003141
DB01190	D013530
DB01190	D003286
DB01327	D013530
DB01327	D003286
DB00567	D007239
DB00567	D003141
DB00567	D013530
DB00567	D003286
DB00112	D001201
DB00422	D003866
DB00422	D003863
DB00422	D003865
DB00026	D013345
DB01112	D011704
DB01041	D012859
DB01041	D014987
DB01041	D013577
DB09078	D008113
DB00136	D012279
DB15557	D012279
DB00136	D006996
DB15557	D006996
