drug	condition
DB00758	D003324
DB01235	D010300
DB16683	D010300
DB01235	D018450
DB16683	D018450
DB00190	D010300
DB16171	D010300
DB00190	D018450
DB16171	D018450
DB00381	D006973
DB00381	D000075222
DB09026	D006973
DB09026	D000075222
DB00465	D010149
DB00465	D000070636
DB00184	D002277
DB00878	D011014
DB00878	D053717
DB00565	D005207
DB00598	D011225
DB00598	D046110
DB00598	D006973
DB01115	D011225
DB01115	D046110
DB01115	D006973
DB00813	D014069
DB00813	D020181
DB00813	D000073818
DB00333	D014069
DB00333	D020181
DB00333	D000073818
DB00327	D014069
DB00327	D020181
DB00327	D000073818
DB00316	D014098
DB00533	D014098
DB00533	D010149
DB00497	D014098
DB00497	D010149
DB00958	D009303
DB00958	D000077274
DB00958	D012008
DB00441	D009303
DB00441	D000077274
DB00441	D012008
DB09072	D003027
DB09072	D006261
DB00297	D006547
DB00297	D046449
DB00297	D000082122
DB00958	D004938
DB00642	D004938
DB00181	D000437
DB05679	D003424
DB08885	D008268
DB08885	D057135
DB09074	D002277
DB09074	D000230
DB09074	D064726
DB09074	D001943
DB09074	D018284
DB09074	D018269
DB09074	D000231
DB04299	D002277
DB04299	D000230
DB04299	D064726
DB04299	D001943
DB04299	D018284
DB04299	D018269
DB04299	D000231
DB09037	D002295
DB00929	D006473
DB00929	D006470
DB00107	D006473
DB00107	D006470
DB01394	D007239
DB01394	D000086382
DB01394	D045169
DB09075	D007239
DB09075	D000086382
DB09075	D045169
DB00588	D002177
DB08906	D002177
DB13867	D002177
DB00588	D002180
DB08906	D002180
DB13867	D002180
DB00588	D001249
DB08906	D001249
DB13867	D001249
DB00588	D014832
DB08906	D014832
DB13867	D014832
DB00938	D002177
DB00938	D002180
DB00938	D001249
DB00938	D014832
DB00412	D010523
DB00412	D003929
DB01109	D000673
DB15404	D000673
DB00922	D002303
DB01017	D006556
DB01017	D019969
DB01085	D011305
DB00531	D012175
DB00958	D012175
DB00773	D012175
DB00541	D012175
DB01234	D005770
DB11487	D005770
DB14649	D005770
DB01234	D004067
DB11487	D004067
DB14649	D004067
DB01234	D009325
DB11487	D009325
DB14649	D009325
DB01234	D014839
DB11487	D014839
DB14649	D014839
DB00673	D005770
DB00673	D004067
DB00673	D009325
DB00673	D014839
DB00377	D005770
DB00377	D004067
DB00377	D009325
DB00377	D014839
DB00108	D009103
DB00108	D020529
DB00108	D012598
DB08868	D009103
DB08868	D020529
DB08868	D012598
DB00958	D008175
DB00762	D008175
DB00619	D008175
DB00177	D009394
DB00177	D013577
DB00542	D009394
DB14125	D009394
DB00542	D013577
DB14125	D013577
DB00755	D008223
DB00755	D006689
DB00188	D000077216
DB00188	D012008
DB01012	D007676
DB01012	D000740
DB01012	D006961
DB01012	D006962
DB01006	D001943
DB01259	D001943
DB00515	D006258
DB00215	D003866
DB00215	D003863
DB00215	D003865
DB01175	D003865
DB08839	D003866
DB08839	D003863
DB08839	D003865
DB00073	D016393
DB00073	D016403
DB00742	D010300
DB00742	D007024
DB00742	D007022
DB06262	D010300
DB06262	D007024
DB06262	D007022
DB01041	D009101
DB01041	D054219
DB00635	D009101
DB00635	D054219
DB06710	D016638
DB00624	D016638
DB01420	D016638
DB13943	D016638
DB13944	D016638
DB13946	D016638
DB16001	D016638
DB16002	D016638
DB00760	D018805
DB03619	D008067
DB06243	D015179
DB06243	D009303
DB06243	D011125
DB00482	D015179
DB00482	D009303
DB00482	D011125
DB00709	D015493
DB00709	D013118
DB00709	D001855
DB00495	D015493
DB00495	D013118
DB00495	D001855
DB01005	D020521
DB01005	D000755
DB00650	D001661
DB00526	D001661
DB00762	D001661
DB00544	D001661
DB11596	D001661
DB00361	D001943
DB11094	D014376
DB11094	D013166
DB11094	D025241
DB00153	D014376
DB00153	D013166
DB00153	D025241
DB00169	D014376
DB00169	D013166
DB00169	D025241
DB01101	D003110
DB00526	D003110
DB01101	D010190
DB00544	D010190
DB00445	D010190
DB00520	D009181
DB00520	D001228
DB00520	D000072742
DB00520	D060585
DB00257	D009181
DB00257	D001228
DB00257	D000072742
DB00257	D060585
DB01110	D009181
DB01110	D001228
DB01110	D000072742
DB01110	D060585
DB09034	D000437
DB00700	D056833
DB01076	D009103
DB01076	D020529
DB01076	D012598
DB00068	D009103
DB00068	D020529
DB00068	D012598
DB11793	D010051
DB11793	D000077216
DB00181	D009128
DB03843	D014777
DB03843	D000096745
DB00764	D012220
DB14512	D012220
DB00764	D065631
DB14512	D065631
DB00388	D012220
DB00388	D065631
DB00935	D012220
DB00935	D065631
DB11823	D012220
DB11823	D065631
DB15171	D003920
DB15171	D008659
DB15171	D044882
DB15171	D003924
DB15171	D004700
DB00297	D010149
DB01046	D003248
DB01220	D043183
DB01220	D013577
DB01220	D003967
DB16650	D012507
DB16650	D006099
DB16650	D016460
DB06151	D012128
DB14080	D012128
DB14479	D012128
DB14480	D012128
DB06151	D012127
DB14080	D012127
DB14479	D012127
DB14480	D012127
DB06151	D055371
DB14080	D055371
DB14479	D055371
DB14480	D055371
DB06151	D013577
DB14080	D013577
DB14479	D013577
DB14480	D013577
DB00987	D009103
DB00987	D020529
DB00987	D012598
DB00635	D009103
DB00635	D020529
DB00635	D012598
DB00773	D009103
DB00773	D020529
